New York,40.7305991,-73.9865811,30.95223252029481
Delhi,28.6517178,77.2219388,23.66239942344341
Bangalore,12.9791198,77.5912997,24.837308021358567
Paris,48.8566101,2.3514992,21.28637919610851
stockholm,59.3251172,18.0710935,19.962975101115703
london,51.5073219,-0.1276473,33.4650319771878
London,51.5073219,-0.1276473,33.4650319771878
Madrid,40.4167047,-3.7035824,19.551702291132703
1,22.3511148,78.6677428,1799.6399627327216
Islington,51.5384287,-0.099905,2.618824454716124
kesklinn,57.8463868,26.9987565,2.5190694580921598
mayfair,51.5110777,-0.1472082,2.619263500368832
islington,51.5384287,-0.099905,2.618824454716124
frankfurt,50.1106529,8.6820934,21.125111273431465
berlin,52.5170365,13.3888599,20.81609857500233
Tallinn,59.4372155,24.7453688,13.967399035827345
tallinn,59.4372155,24.7453688,13.967399035827345
tartu,58.3727059,26.7237528,4.996279215452815
delhi,28.6517178,77.2219388,23.66239942344341
